"","ASV","Coefficient","Phylum"
"1","000213a755d5da09d381fe3215b1ebc5",-0.00274482273510894,"Chloroflexi"
"2","00038cf8efa9dce3ce68504e32337c18",-0.0040101229497603,"Actinobacteriota"
"3","0005af3e39f85478242c0e9a8def72cd",-0.000410125851154413,"Actinobacteriota"
"4","0009cb5856c2a9cc476fdad94e7dc814",-0.00565545511823858,"Acidobacteriota"
"5","000a0e6e0f8c7a6ff7614221ccf7f7f6",-0.00319655936534245,"Others"
"6","000c6d8d1b29136b687ba3fae92a9827",-0.00319655936534245,"Acidobacteriota"
"7","000f33d3f2b2ebbd41af158fb4fc54d6",-0.000446989023535972,"Proteobacteria"
"8","001717d14584c0eef4d6c2b849f0df21",-0.00176918620196907,"Chloroflexi"
"9","0018ac8e616bbd962c5874f046660c6d",-0.0151519960798459,"Bacteroidota"
"10","001b2b8e7ab7480a865e5dd30a4b9799",-0.00597065339099865,"Others"
"11","0021c047aa7adc4dba28710866e55c4f",-0.0177758004482254,"Others"
"12","0023d547f724fc419d6c6554a6b4e100",-0.038895141506991,"Proteobacteria"
"13","002609775996f6d53a08357ce2a19397",-0.0130586437162857,"Firmicutes"
"14","00263c937de6e17c0d30a738a61b4af6",-0.172707121474772,"Proteobacteria"
"15","002ccbb03e3271154badb522860b9d43",-0.00907428618253521,"Others"
"16","002fe9d081cb8df88fd047c6d5df1017",-0.0068149887436375,"Chloroflexi"
"17","0033878175691a052690c0b7ded8383a",0.0808788177225588,"Others"
"18","003889228fb019d22249225289a1a2d7",0.1413352908843,"Proteobacteria"
"19","003b4c1781a395ba70d4f6d713a32e26",0.0783429354677902,"Bacteroidota"
"20","003d32f45a8d73307d8d9dea31511591",-0.00197163985023734,"Planctomycetota"
"21","003ed529b84e78838aebc5474b8ba031",-0.0053427498401565,"Others"
"22","003fe66bf64984f630e059bbb706fb95",-0.00168902309588459,"Others"
"23","0042029930ed1ce3bb1480a587281e35",-0.00404588561142656,"Others"
"24","004ba6bec69a62b85ebad75b72352af5",-0.0149167648572546,"Proteobacteria"
"25","00518bd06b3bf226d5aad2f409115919",-0.00230578266258492,"Actinobacteriota"
"26","00528b02d25e14c51a837edabf7b379e",-0.00745717832047701,"Actinobacteriota"
"27","0053120f59bc2582464590a3c1dc6819",-0.0100915749614263,"Proteobacteria"
"28","00538e116f8697796b4d9e9c4205d557",0.0598151106835391,"Planctomycetota"
"29","005492b0ca58e783a7dbed6970e04ab2",-0.0147229283298144,"Proteobacteria"
"30","0054fac36846568837edc51646561120",-0.00510237507491044,"Actinobacteriota"
"31","005c97002792697a0eb0e2c60c1d0453",-0.00787610232336453,"Actinobacteriota"
"32","005e6d51f32fde1af4d36fc48f060d61",-0.00131740711711735,"Actinobacteriota"
"33","006020815d9223520c3a2e2de75ba9bd",-0.00207165760654355,"Actinobacteriota"
"34","007231f0e04f0f66979eaa32577be9c9",-0.00293525857643382,"Chloroflexi"
"35","0074faec8ef09354aebcd01edcb334b4",-0.0172955847097183,"Planctomycetota"
"36","007f55700be669555d8919daeed7a7f5",-0.000706063612007158,"Acidobacteriota"
"37","00814c9e44fc13a4ffb18c9d641e020c",-0.0260927644963821,"Chloroflexi"
"38","00826107fe9722129118285e27ef9f09",-0.000814900025621872,"Actinobacteriota"
"39","0084ed03930df7832e99458b5a914026",0.0307305799755929,"Actinobacteriota"
"40","00863e06a1fcd42fa316b9982e6436c6",-0.000472746846679739,"Proteobacteria"
"41","008aa333579374386d5929a6ae03fc96",-0.00939665780119754,"Others"
"42","008b15c1f7236a192267ad74ca7384a8",-0.00949432717212082,"Proteobacteria"
"43","008d452f0fd198d65f82dced81334454",-0.0074382525960457,"Actinobacteriota"
"44","008d6cf3ed63ea94006e8b2dad887f46",-0.0129142000030468,"Bacteroidota"
"45","009264929a078f6263ead0662c85639a",-0.000655648187350503,"Proteobacteria"
"46","00960294fc9a38b25d80cee5642b2b1e",-0.0041216056359171,"Proteobacteria"
"47","009752bb4b7ce2e93cebe8b9a8960d46",0.0162713165289994,"Proteobacteria"
"48","009c34d4847c88130ad337a2ac55426c",-0.00540277298147158,"Proteobacteria"
"49","009d6c972627405dafe7dbc851ca3558",-0.000838552171074267,"Chloroflexi"
"50","00ad10a405730dcfd7b50e3d99fd1b5e",-0.00460751774654268,"Bacteroidota"
